"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 30 15:31:34 GMT 2024","Sat Nov 30 15:31:34 GMT 2024","123","api_test.tests","test_delete_message","","","","Тест на удаление несуществующего сообщения",""
"failed","Sat Nov 30 15:31:35 GMT 2024","Sat Nov 30 15:31:35 GMT 2024","124","api_test.tests","test_post_message","","","","Тест на отправку сообщения",""
"passed","Sat Nov 30 15:31:34 GMT 2024","Sat Nov 30 15:31:35 GMT 2024","102","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Без авторизации",""
"failed","Sat Nov 30 15:31:34 GMT 2024","Sat Nov 30 15:31:34 GMT 2024","86","api_test.tests","test_delete_message","","","","Тест на удаление сообщения без авторизации",""
"passed","Sat Nov 30 15:31:35 GMT 2024","Sat Nov 30 15:31:35 GMT 2024","75","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без токена авторизации",""
"failed","Sat Nov 30 15:31:34 GMT 2024","Sat Nov 30 15:31:34 GMT 2024","121","api_test.tests","test_delete_message","","","","Тест на удаление сообщения",""
"failed","Sat Nov 30 15:31:34 GMT 2024","Sat Nov 30 15:31:34 GMT 2024","92","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Неверный messageId",""
"failed","Sat Nov 30 15:31:35 GMT 2024","Sat Nov 30 15:31:35 GMT 2024","86","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без тела запроса",""
