"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 30 15:33:19 GMT 2024","Sat Nov 30 15:33:19 GMT 2024","109","api_test.tests","test_delete_message","","","","Тест на удаление сообщения без авторизации",""
"failed","Sat Nov 30 15:33:19 GMT 2024","Sat Nov 30 15:33:19 GMT 2024","99","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Неверный messageId",""
"failed","Sat Nov 30 15:33:19 GMT 2024","Sat Nov 30 15:33:19 GMT 2024","113","api_test.tests","test_delete_message","","","","Тест на удаление сообщения",""
"failed","Sat Nov 30 15:33:20 GMT 2024","Sat Nov 30 15:33:20 GMT 2024","101","api_test.tests","test_post_message","","","","Тест на отправку сообщения",""
"failed","Sat Nov 30 15:33:20 GMT 2024","Sat Nov 30 15:33:20 GMT 2024","137","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без тела запроса",""
"passed","Sat Nov 30 15:33:19 GMT 2024","Sat Nov 30 15:33:20 GMT 2024","100","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Без авторизации",""
"passed","Sat Nov 30 15:33:20 GMT 2024","Sat Nov 30 15:33:20 GMT 2024","98","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без токена авторизации",""
"failed","Sat Nov 30 15:33:19 GMT 2024","Sat Nov 30 15:33:19 GMT 2024","129","api_test.tests","test_delete_message","","","","Тест на удаление несуществующего сообщения",""
