"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 30 15:33:53 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","85","api_test.tests","test_post_message","","","","Тест на отправку сообщения",""
"passed","Sat Nov 30 15:33:53 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","84","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Без авторизации",""
"failed","Sat Nov 30 15:33:52 GMT 2024","Sat Nov 30 15:33:52 GMT 2024","107","api_test.tests","test_delete_message","","","","Тест на удаление несуществующего сообщения",""
"failed","Sat Nov 30 15:33:52 GMT 2024","Sat Nov 30 15:33:52 GMT 2024","107","api_test.tests","test_delete_message","","","","Тест на удаление сообщения",""
"passed","Sat Nov 30 15:33:53 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","100","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без токена авторизации",""
"failed","Sat Nov 30 15:33:53 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","119","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без тела запроса",""
"failed","Sat Nov 30 15:33:52 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","104","api_test.tests","test_delete_message","","","","Тест на удаление сообщения без авторизации",""
"failed","Sat Nov 30 15:33:53 GMT 2024","Sat Nov 30 15:33:53 GMT 2024","105","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Неверный messageId",""
