"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","108","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Неверный messageId",""
"failed","Sat Nov 30 15:33:33 GMT 2024","Sat Nov 30 15:33:33 GMT 2024","80","api_test.tests","test_delete_message","","","","Тест на удаление сообщения",""
"failed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","102","api_test.tests","test_delete_message","","","","Тест на удаление сообщения без авторизации",""
"failed","Sat Nov 30 15:33:33 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","92","api_test.tests","test_delete_message","","","","Тест на удаление несуществующего сообщения",""
"failed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","74","api_test.tests","test_post_message","","","","Тест на отправку сообщения",""
"failed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","82","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без тела запроса",""
"passed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","69","api_test.tests","test_post_message","","","","Тест на отправку сообщения. Негативный. Без токена авторизации",""
"passed","Sat Nov 30 15:33:34 GMT 2024","Sat Nov 30 15:33:34 GMT 2024","80","api_test.tests","test_get_message","","","","Тест на получение сообщения. Негативный. Без авторизации",""
